sample	unit	assembly	fq1	fq2
SRR8944126	1	SRR8944126	SRR8944126	SRR8944126
SRR8944127	1	SRR8944127	SRR8944127	SRR8944127
SRR8944128	1	SRR8944128	SRR8944128	SRR8944128
SRR8944129	1	SRR8944129	SRR8944129	SRR8944129
SRR9030457	1	SRR9030457	SRR9030457	SRR9030457
SRR8715491	1	SRR8715491	SRR8715491	SRR8715491
SRR8715492	1	SRR8715492	SRR8715492	SRR8715492
SRR8715493	1	SRR8715493	SRR8715493	SRR8715493
SRR8715494	1	SRR8715494	SRR8715494	SRR8715494
SRR8715495	1	SRR8715495	SRR8715495	SRR8715495
SRR8715496	1	SRR8715496	SRR8715496	SRR8715496
SRR8715497	1	SRR8715497	SRR8715497	SRR8715497
SRR8715498	1	SRR8715498	SRR8715498	SRR8715498
SRR7618093	1	SRR7618093	SRR7618093	SRR7618093
SRR14455375	1	SRR14455375	SRR14455375	SRR14455375
ERR3519521	1	ERR3519521	ERR3519521	ERR3519521
ERR3519522	1	ERR3519522	ERR3519522	ERR3519522
ERR3519523	1	ERR3519523	ERR3519523	ERR3519523
ERR3519524	1	ERR3519524	ERR3519524	ERR3519524
ERR3519525	1	ERR3519525	ERR3519525	ERR3519525
ERR3519526	1	ERR3519526	ERR3519526	ERR3519526
ERR3519527	1	ERR3519527	ERR3519527	ERR3519527
ERR3519528	1	ERR3519528	ERR3519528	ERR3519528
SRR7500591	1	SRR7500591	SRR7500591	SRR7500591
SRR7503035	1	SRR7503035	SRR7503035	SRR7503035
SRR7497167	1	SRR7497167	SRR7497167	SRR7497167
SRR7499264	1	SRR7499264	SRR7499264	SRR7499264
SRR7631476	1	SRR7631476	SRR7631476	SRR7631476
SRR7635124	1	SRR7635124	SRR7635124	SRR7635124
SRR7630418	1	SRR7630418	SRR7630418	SRR7630418
SRR14297772	1	SRR14297772	SRR14297772	SRR14297772
SRR14297773	1	SRR14297773	SRR14297773	SRR14297773
SRR14297774	1	SRR14297774	SRR14297774	SRR14297774
SRR14297775	1	SRR14297775	SRR14297775	SRR14297775
SRR14297776	1	SRR14297776	SRR14297776	SRR14297776
SRR14297777	1	SRR14297777	SRR14297777	SRR14297777
SRR14297778	1	SRR14297778	SRR14297778	SRR14297778
SRR14297779	1	SRR14297779	SRR14297779	SRR14297779
SRR14297780	1	SRR14297780	SRR14297780	SRR14297780
SRR8205411	1	SRR8205411	SRR8205411	SRR8205411
SRR8206192	1	SRR8206192	SRR8206192	SRR8206192
SRR8583493	1	SRR8583493	SRR8583493	SRR8583493
SRR8223441	1	SRR8223441	SRR8223441	SRR8223441
SRR8208343	1	SRR8208343	SRR8208343	SRR8208343
SRR8208344	1	SRR8208344	SRR8208344	SRR8208344
SRR8208345	1	SRR8208345	SRR8208345	SRR8208345
SRR8208346	1	SRR8208346	SRR8208346	SRR8208346
SRR8208347	1	SRR8208347	SRR8208347	SRR8208347
SRR8208348	1	SRR8208348	SRR8208348	SRR8208348
SRR8208349	1	SRR8208349	SRR8208349	SRR8208349
SRR6872420	1	SRR6872420	SRR6872420	SRR6872420
SRR6872421	1	SRR6872421	SRR6872421	SRR6872421
SRR6872422	1	SRR6872422	SRR6872422	SRR6872422
SRR6872423	1	SRR6872423	SRR6872423	SRR6872423
SRR6872424	1	SRR6872424	SRR6872424	SRR6872424
SRR6872425	1	SRR6872425	SRR6872425	SRR6872425
SRR6872426	1	SRR6872426	SRR6872426	SRR6872426
SRR6872427	1	SRR6872427	SRR6872427	SRR6872427
SRR6872428	1	SRR6872428	SRR6872428	SRR6872428
SRR6872429	1	SRR6872429	SRR6872429	SRR6872429
SRR6872430	1	SRR6872430	SRR6872430	SRR6872430
SRR6872431	1	SRR6872431	SRR6872431	SRR6872431
SRR6872432	1	SRR6872432	SRR6872432	SRR6872432
SRR6872433	1	SRR6872433	SRR6872433	SRR6872433
SRR6872434	1	SRR6872434	SRR6872434	SRR6872434
SRR6872435	1	SRR6872435	SRR6872435	SRR6872435
SRR6872436	1	SRR6872436	SRR6872436	SRR6872436
