sample	unit	assembly	fq1	fq2
ERR3562978	1	ERR3562978	ERR3562978	ERR3562978
ERR3562979	1	ERR3562979	ERR3562979	ERR3562979
ERR3562980	1	ERR3562980	ERR3562980	ERR3562980
ERR3562981	1	ERR3562981	ERR3562981	ERR3562981
ERR3562982	1	ERR3562982	ERR3562982	ERR3562982
ERR3562983	1	ERR3562983	ERR3562983	ERR3562983
ERR3562984	1	ERR3562984	ERR3562984	ERR3562984
ERR3562985	1	ERR3562985	ERR3562985	ERR3562985
ERR3562986	1	ERR3562986	ERR3562986	ERR3562986
ERR3562987	1	ERR3562987	ERR3562987	ERR3562987
ERR3562988	1	ERR3562988	ERR3562988	ERR3562988
ERR3562989	1	ERR3562989	ERR3562989	ERR3562989
ERR3562990	1	ERR3562990	ERR3562990	ERR3562990
ERR3562991	1	ERR3562991	ERR3562991	ERR3562991
ERR3562992	1	ERR3562992	ERR3562992	ERR3562992
ERR3562993	1	ERR3562993	ERR3562993	ERR3562993
ERR3562994	1	ERR3562994	ERR3562994	ERR3562994
ERR3562995	1	ERR3562995	ERR3562995	ERR3562995
ERR3562996	1	ERR3562996	ERR3562996	ERR3562996
ERR3562997	1	ERR3562997	ERR3562997	ERR3562997
ERR3562998	1	ERR3562998	ERR3562998	ERR3562998
ERR3562999	1	ERR3562999	ERR3562999	ERR3562999
ERR3563000	1	ERR3563000	ERR3563000	ERR3563000
ERR3563001	1	ERR3563001	ERR3563001	ERR3563001
ERR3563002	1	ERR3563002	ERR3563002	ERR3563002
ERR3563003	1	ERR3563003	ERR3563003	ERR3563003
ERR3563004	1	ERR3563004	ERR3563004	ERR3563004
ERR3563005	1	ERR3563005	ERR3563005	ERR3563005
ERR3563006	1	ERR3563006	ERR3563006	ERR3563006
ERR3563007	1	ERR3563007	ERR3563007	ERR3563007
ERR3563008	1	ERR3563008	ERR3563008	ERR3563008
ERR3563009	1	ERR3563009	ERR3563009	ERR3563009
ERR3563010	1	ERR3563010	ERR3563010	ERR3563010
ERR3563011	1	ERR3563011	ERR3563011	ERR3563011
ERR3563012	1	ERR3563012	ERR3563012	ERR3563012
ERR3563013	1	ERR3563013	ERR3563013	ERR3563013
ERR3563014	1	ERR3563014	ERR3563014	ERR3563014
ERR3563015	1	ERR3563015	ERR3563015	ERR3563015
ERR3563016	1	ERR3563016	ERR3563016	ERR3563016
ERR3563017	1	ERR3563017	ERR3563017	ERR3563017
ERR3563018	1	ERR3563018	ERR3563018	ERR3563018
ERR3563019	1	ERR3563019	ERR3563019	ERR3563019
ERR3563020	1	ERR3563020	ERR3563020	ERR3563020
ERR3563021	1	ERR3563021	ERR3563021	ERR3563021
ERR3563022	1	ERR3563022	ERR3563022	ERR3563022
ERR3563023	1	ERR3563023	ERR3563023	ERR3563023
ERR3563024	1	ERR3563024	ERR3563024	ERR3563024
ERR3563025	1	ERR3563025	ERR3563025	ERR3563025
ERR3563026	1	ERR3563026	ERR3563026	ERR3563026
ERR3563027	1	ERR3563027	ERR3563027	ERR3563027
ERR3563028	1	ERR3563028	ERR3563028	ERR3563028
ERR3563030	1	ERR3563030	ERR3563030	ERR3563030
ERR3563031	1	ERR3563031	ERR3563031	ERR3563031
ERR3563032	1	ERR3563032	ERR3563032	ERR3563032
ERR3563033	1	ERR3563033	ERR3563033	ERR3563033
ERR3563034	1	ERR3563034	ERR3563034	ERR3563034
ERR3563035	1	ERR3563035	ERR3563035	ERR3563035
ERR3563036	1	ERR3563036	ERR3563036	ERR3563036
ERR3563037	1	ERR3563037	ERR3563037	ERR3563037
ERR3563038	1	ERR3563038	ERR3563038	ERR3563038
ERR3563039	1	ERR3563039	ERR3563039	ERR3563039
ERR3563040	1	ERR3563040	ERR3563040	ERR3563040
ERR3563041	1	ERR3563041	ERR3563041	ERR3563041
ERR3563042	1	ERR3563042	ERR3563042	ERR3563042
ERR3563043	1	ERR3563043	ERR3563043	ERR3563043
ERR3563044	1	ERR3563044	ERR3563044	ERR3563044
ERR3563045	1	ERR3563045	ERR3563045	ERR3563045
ERR3563046	1	ERR3563046	ERR3563046	ERR3563046
ERR3563047	1	ERR3563047	ERR3563047	ERR3563047
ERR3563048	1	ERR3563048	ERR3563048	ERR3563048
ERR3563049	1	ERR3563049	ERR3563049	ERR3563049
ERR3563050	1	ERR3563050	ERR3563050	ERR3563050
ERR3563051	1	ERR3563051	ERR3563051	ERR3563051
ERR3563052	1	ERR3563052	ERR3563052	ERR3563052
ERR3563053	1	ERR3563053	ERR3563053	ERR3563053
ERR3563054	1	ERR3563054	ERR3563054	ERR3563054
ERR3563055	1	ERR3563055	ERR3563055	ERR3563055
ERR3563056	1	ERR3563056	ERR3563056	ERR3563056
ERR3563057	1	ERR3563057	ERR3563057	ERR3563057
ERR3563058	1	ERR3563058	ERR3563058	ERR3563058
ERR3563059	1	ERR3563059	ERR3563059	ERR3563059
ERR3563060	1	ERR3563060	ERR3563060	ERR3563060
ERR3563061	1	ERR3563061	ERR3563061	ERR3563061
ERR3563062	1	ERR3563062	ERR3563062	ERR3563062
ERR3563063	1	ERR3563063	ERR3563063	ERR3563063
ERR3563064	1	ERR3563064	ERR3563064	ERR3563064
ERR3563065	1	ERR3563065	ERR3563065	ERR3563065
ERR3563066	1	ERR3563066	ERR3563066	ERR3563066
ERR3563067	1	ERR3563067	ERR3563067	ERR3563067
ERR3563068	1	ERR3563068	ERR3563068	ERR3563068
ERR3563069	1	ERR3563069	ERR3563069	ERR3563069
ERR3563070	1	ERR3563070	ERR3563070	ERR3563070
ERR3563071	1	ERR3563071	ERR3563071	ERR3563071
ERR3563072	1	ERR3563072	ERR3563072	ERR3563072
ERR3563073	1	ERR3563073	ERR3563073	ERR3563073
ERR3563074	1	ERR3563074	ERR3563074	ERR3563074
ERR3563075	1	ERR3563075	ERR3563075	ERR3563075
ERR3563076	1	ERR3563076	ERR3563076	ERR3563076
ERR3563077	1	ERR3563077	ERR3563077	ERR3563077
ERR3563078	1	ERR3563078	ERR3563078	ERR3563078
ERR3563079	1	ERR3563079	ERR3563079	ERR3563079
ERR3563080	1	ERR3563080	ERR3563080	ERR3563080
ERR3563081	1	ERR3563081	ERR3563081	ERR3563081
ERR3563082	1	ERR3563082	ERR3563082	ERR3563082
ERR3563083	1	ERR3563083	ERR3563083	ERR3563083
ERR3563084	1	ERR3563084	ERR3563084	ERR3563084
ERR3563085	1	ERR3563085	ERR3563085	ERR3563085
ERR3563086	1	ERR3563086	ERR3563086	ERR3563086
ERR3563087	1	ERR3563087	ERR3563087	ERR3563087
ERR3563088	1	ERR3563088	ERR3563088	ERR3563088
ERR3563089	1	ERR3563089	ERR3563089	ERR3563089
ERR3563090	1	ERR3563090	ERR3563090	ERR3563090
ERR3563091	1	ERR3563091	ERR3563091	ERR3563091
ERR3563092	1	ERR3563092	ERR3563092	ERR3563092
ERR3563093	1	ERR3563093	ERR3563093	ERR3563093
ERR3563094	1	ERR3563094	ERR3563094	ERR3563094
ERR3563095	1	ERR3563095	ERR3563095	ERR3563095
ERR3563096	1	ERR3563096	ERR3563096	ERR3563096
ERR3563097	1	ERR3563097	ERR3563097	ERR3563097
ERR3563098	1	ERR3563098	ERR3563098	ERR3563098
ERR3563099	1	ERR3563099	ERR3563099	ERR3563099
ERR3563100	1	ERR3563100	ERR3563100	ERR3563100
ERR3563101	1	ERR3563101	ERR3563101	ERR3563101
ERR3563102	1	ERR3563102	ERR3563102	ERR3563102
ERR3563103	1	ERR3563103	ERR3563103	ERR3563103
ERR3563104	1	ERR3563104	ERR3563104	ERR3563104
ERR3563105	1	ERR3563105	ERR3563105	ERR3563105
ERR3563106	1	ERR3563106	ERR3563106	ERR3563106
ERR3563107	1	ERR3563107	ERR3563107	ERR3563107
ERR3563108	1	ERR3563108	ERR3563108	ERR3563108
ERR3563109	1	ERR3563109	ERR3563109	ERR3563109
ERR3563110	1	ERR3563110	ERR3563110	ERR3563110
ERR3563111	1	ERR3563111	ERR3563111	ERR3563111
ERR3563112	1	ERR3563112	ERR3563112	ERR3563112
ERR3563029	1	ERR3563029	ERR3563029	ERR3563029
SRR6224384	1	SRR6224384	SRR6224384	SRR6224384
SRR6224385	1	SRR6224385	SRR6224385	SRR6224385
SRR6224386	1	SRR6224386	SRR6224386	SRR6224386
SRR6224387	1	SRR6224387	SRR6224387	SRR6224387
SRR6224388	1	SRR6224388	SRR6224388	SRR6224388
SRR6224389	1	SRR6224389	SRR6224389	SRR6224389
SRR6224390	1	SRR6224390	SRR6224390	SRR6224390
SRR6224391	1	SRR6224391	SRR6224391	SRR6224391
SRR6224392	1	SRR6224392	SRR6224392	SRR6224392
SRR6224393	1	SRR6224393	SRR6224393	SRR6224393
SRR6224394	1	SRR6224394	SRR6224394	SRR6224394
SRR6224395	1	SRR6224395	SRR6224395	SRR6224395
SRR6224396	1	SRR6224396	SRR6224396	SRR6224396
SRR6224397	1	SRR6224397	SRR6224397	SRR6224397
SRR6224398	1	SRR6224398	SRR6224398	SRR6224398
SRR6224399	1	SRR6224399	SRR6224399	SRR6224399
SRR6224400	1	SRR6224400	SRR6224400	SRR6224400
SRR6224401	1	SRR6224401	SRR6224401	SRR6224401
SRR6224402	1	SRR6224402	SRR6224402	SRR6224402
SRR6224403	1	SRR6224403	SRR6224403	SRR6224403
SRR6224404	1	SRR6224404	SRR6224404	SRR6224404
SRR6224405	1	SRR6224405	SRR6224405	SRR6224405
SRR6224406	1	SRR6224406	SRR6224406	SRR6224406
SRR6224407	1	SRR6224407	SRR6224407	SRR6224407
SRR6224408	1	SRR6224408	SRR6224408	SRR6224408
SRR6224409	1	SRR6224409	SRR6224409	SRR6224409
SRR6224410	1	SRR6224410	SRR6224410	SRR6224410
SRR6224411	1	SRR6224411	SRR6224411	SRR6224411
SRR6224412	1	SRR6224412	SRR6224412	SRR6224412
SRR6224413	1	SRR6224413	SRR6224413	SRR6224413
SRR6224414	1	SRR6224414	SRR6224414	SRR6224414
SRR6224415	1	SRR6224415	SRR6224415	SRR6224415
SRR6224416	1	SRR6224416	SRR6224416	SRR6224416
SRR6224417	1	SRR6224417	SRR6224417	SRR6224417
SRR6224418	1	SRR6224418	SRR6224418	SRR6224418
SRR6224419	1	SRR6224419	SRR6224419	SRR6224419
SRR6224420	1	SRR6224420	SRR6224420	SRR6224420
SRR6224421	1	SRR6224421	SRR6224421	SRR6224421
SRR6224422	1	SRR6224422	SRR6224422	SRR6224422
SRR6224423	1	SRR6224423	SRR6224423	SRR6224423
SRR6224424	1	SRR6224424	SRR6224424	SRR6224424
SRR6224425	1	SRR6224425	SRR6224425	SRR6224425
SRR6224426	1	SRR6224426	SRR6224426	SRR6224426
SRR6224427	1	SRR6224427	SRR6224427	SRR6224427
SRR6224428	1	SRR6224428	SRR6224428	SRR6224428
SRR6224429	1	SRR6224429	SRR6224429	SRR6224429
SRR6224430	1	SRR6224430	SRR6224430	SRR6224430
SRR6224431	1	SRR6224431	SRR6224431	SRR6224431
SRR6224432	1	SRR6224432	SRR6224432	SRR6224432
SRR6224433	1	SRR6224433	SRR6224433	SRR6224433
SRR6224434	1	SRR6224434	SRR6224434	SRR6224434
SRR6224435	1	SRR6224435	SRR6224435	SRR6224435
SRR6224436	1	SRR6224436	SRR6224436	SRR6224436
SRR6224437	1	SRR6224437	SRR6224437	SRR6224437
SRR6224438	1	SRR6224438	SRR6224438	SRR6224438
SRR6224439	1	SRR6224439	SRR6224439	SRR6224439
SRR6224440	1	SRR6224440	SRR6224440	SRR6224440
SRR6224441	1	SRR6224441	SRR6224441	SRR6224441
SRR6224442	1	SRR6224442	SRR6224442	SRR6224442
SRR6224443	1	SRR6224443	SRR6224443	SRR6224443
SRR6224444	1	SRR6224444	SRR6224444	SRR6224444
SRR6224445	1	SRR6224445	SRR6224445	SRR6224445
SRR6224446	1	SRR6224446	SRR6224446	SRR6224446
SRR6224447	1	SRR6224447	SRR6224447	SRR6224447
SRR6224448	1	SRR6224448	SRR6224448	SRR6224448
SRR6224449	1	SRR6224449	SRR6224449	SRR6224449
SRR6224450	1	SRR6224450	SRR6224450	SRR6224450
SRR6224451	1	SRR6224451	SRR6224451	SRR6224451
SRR6224452	1	SRR6224452	SRR6224452	SRR6224452
SRR6224453	1	SRR6224453	SRR6224453	SRR6224453
SRR6224454	1	SRR6224454	SRR6224454	SRR6224454
SRR6224455	1	SRR6224455	SRR6224455	SRR6224455
SRR6224456	1	SRR6224456	SRR6224456	SRR6224456
SRR6224457	1	SRR6224457	SRR6224457	SRR6224457
SRR6224458	1	SRR6224458	SRR6224458	SRR6224458
SRR6224459	1	SRR6224459	SRR6224459	SRR6224459
SRR6224460	1	SRR6224460	SRR6224460	SRR6224460
SRR6224461	1	SRR6224461	SRR6224461	SRR6224461
SRR6224462	1	SRR6224462	SRR6224462	SRR6224462
SRR6224463	1	SRR6224463	SRR6224463	SRR6224463
SRR6224464	1	SRR6224464	SRR6224464	SRR6224464
SRR6224465	1	SRR6224465	SRR6224465	SRR6224465
SRR6224466	1	SRR6224466	SRR6224466	SRR6224466
SRR6224467	1	SRR6224467	SRR6224467	SRR6224467
SRR6224468	1	SRR6224468	SRR6224468	SRR6224468
SRR6224469	1	SRR6224469	SRR6224469	SRR6224469
SRR6224470	1	SRR6224470	SRR6224470	SRR6224470
SRR6224471	1	SRR6224471	SRR6224471	SRR6224471
SRR6224472	1	SRR6224472	SRR6224472	SRR6224472
SRR6224473	1	SRR6224473	SRR6224473	SRR6224473
SRR6224474	1	SRR6224474	SRR6224474	SRR6224474
SRR6224475	1	SRR6224475	SRR6224475	SRR6224475
SRR6231130	1	SRR6231130	SRR6231130	SRR6231130
SRR6231131	1	SRR6231131	SRR6231131	SRR6231131
SRR6231133	1	SRR6231133	SRR6231133	SRR6231133
SRR6231134	1	SRR6231134	SRR6231134	SRR6231134
SRR6231135	1	SRR6231135	SRR6231135	SRR6231135
SRR6231136	1	SRR6231136	SRR6231136	SRR6231136
SRR6231137	1	SRR6231137	SRR6231137	SRR6231137
SRR6231139	1	SRR6231139	SRR6231139	SRR6231139
SRR6231140	1	SRR6231140	SRR6231140	SRR6231140
SRR6231141	1	SRR6231141	SRR6231141	SRR6231141
SRR6231142	1	SRR6231142	SRR6231142	SRR6231142
SRR6231143	1	SRR6231143	SRR6231143	SRR6231143
SRR6231145	1	SRR6231145	SRR6231145	SRR6231145
SRR6231146	1	SRR6231146	SRR6231146	SRR6231146
SRR6231147	1	SRR6231147	SRR6231147	SRR6231147
SRR6231149	1	SRR6231149	SRR6231149	SRR6231149
SRR6231150	1	SRR6231150	SRR6231150	SRR6231150
SRR6231154	1	SRR6231154	SRR6231154	SRR6231154
SRR6231155	1	SRR6231155	SRR6231155	SRR6231155
SRR6231161	1	SRR6231161	SRR6231161	SRR6231161
SRR6231163	1	SRR6231163	SRR6231163	SRR6231163
SRR6231166	1	SRR6231166	SRR6231166	SRR6231166
SRR6231167	1	SRR6231167	SRR6231167	SRR6231167
SRR6231168	1	SRR6231168	SRR6231168	SRR6231168
SRR6231169	1	SRR6231169	SRR6231169	SRR6231169
SRR6231170	1	SRR6231170	SRR6231170	SRR6231170
SRR6231171	1	SRR6231171	SRR6231171	SRR6231171
SRR6231172	1	SRR6231172	SRR6231172	SRR6231172
SRR6231174	1	SRR6231174	SRR6231174	SRR6231174
SRR6231175	1	SRR6231175	SRR6231175	SRR6231175
SRR6231179	1	SRR6231179	SRR6231179	SRR6231179
SRR6231181	1	SRR6231181	SRR6231181	SRR6231181
SRR6231183	1	SRR6231183	SRR6231183	SRR6231183
SRR6231184	1	SRR6231184	SRR6231184	SRR6231184
SRR6231186	1	SRR6231186	SRR6231186	SRR6231186
SRR6231188	1	SRR6231188	SRR6231188	SRR6231188
SRR6231191	1	SRR6231191	SRR6231191	SRR6231191
SRR6231192	1	SRR6231192	SRR6231192	SRR6231192
SRR6231195	1	SRR6231195	SRR6231195	SRR6231195
SRR6231196	1	SRR6231196	SRR6231196	SRR6231196
SRR6231197	1	SRR6231197	SRR6231197	SRR6231197
SRR6231198	1	SRR6231198	SRR6231198	SRR6231198
SRR6231199	1	SRR6231199	SRR6231199	SRR6231199
SRR6231201	1	SRR6231201	SRR6231201	SRR6231201
SRR6231203	1	SRR6231203	SRR6231203	SRR6231203
SRR6231205	1	SRR6231205	SRR6231205	SRR6231205
SRR6231206	1	SRR6231206	SRR6231206	SRR6231206
SRR6231208	1	SRR6231208	SRR6231208	SRR6231208
SRR6231212	1	SRR6231212	SRR6231212	SRR6231212
SRR6231214	1	SRR6231214	SRR6231214	SRR6231214
SRR6231216	1	SRR6231216	SRR6231216	SRR6231216
SRR6231217	1	SRR6231217	SRR6231217	SRR6231217
SRR6231218	1	SRR6231218	SRR6231218	SRR6231218
SRR6231219	1	SRR6231219	SRR6231219	SRR6231219
SRR6231132	1	SRR6231132	SRR6231132	SRR6231132
SRR6231138	1	SRR6231138	SRR6231138	SRR6231138
SRR6231144	1	SRR6231144	SRR6231144	SRR6231144
SRR6231148	1	SRR6231148	SRR6231148	SRR6231148
SRR6231151	1	SRR6231151	SRR6231151	SRR6231151
SRR6231152	1	SRR6231152	SRR6231152	SRR6231152
SRR6231153	1	SRR6231153	SRR6231153	SRR6231153
SRR6231156	1	SRR6231156	SRR6231156	SRR6231156
SRR6231157	1	SRR6231157	SRR6231157	SRR6231157
SRR6231158	1	SRR6231158	SRR6231158	SRR6231158
SRR6231159	1	SRR6231159	SRR6231159	SRR6231159
SRR6231160	1	SRR6231160	SRR6231160	SRR6231160
SRR6231162	1	SRR6231162	SRR6231162	SRR6231162
SRR6231164	1	SRR6231164	SRR6231164	SRR6231164
SRR6231165	1	SRR6231165	SRR6231165	SRR6231165
SRR6231173	1	SRR6231173	SRR6231173	SRR6231173
SRR6231176	1	SRR6231176	SRR6231176	SRR6231176
SRR6231177	1	SRR6231177	SRR6231177	SRR6231177
SRR6231178	1	SRR6231178	SRR6231178	SRR6231178
SRR6231180	1	SRR6231180	SRR6231180	SRR6231180
SRR6231182	1	SRR6231182	SRR6231182	SRR6231182
SRR6231185	1	SRR6231185	SRR6231185	SRR6231185
SRR6231187	1	SRR6231187	SRR6231187	SRR6231187
SRR6231189	1	SRR6231189	SRR6231189	SRR6231189
SRR6231190	1	SRR6231190	SRR6231190	SRR6231190
SRR6231193	1	SRR6231193	SRR6231193	SRR6231193
SRR6231194	1	SRR6231194	SRR6231194	SRR6231194
SRR6231200	1	SRR6231200	SRR6231200	SRR6231200
SRR6231202	1	SRR6231202	SRR6231202	SRR6231202
SRR6231204	1	SRR6231204	SRR6231204	SRR6231204
SRR6231207	1	SRR6231207	SRR6231207	SRR6231207
SRR6231209	1	SRR6231209	SRR6231209	SRR6231209
SRR6231210	1	SRR6231210	SRR6231210	SRR6231210
SRR6231211	1	SRR6231211	SRR6231211	SRR6231211
SRR6231213	1	SRR6231213	SRR6231213	SRR6231213
SRR6231215	1	SRR6231215	SRR6231215	SRR6231215
SRR6231220	1	SRR6231220	SRR6231220	SRR6231220
SRR6231221	1	SRR6231221	SRR6231221	SRR6231221
